Text,Views,Replies,Reposts,Likes,Bookmarks,Note Published?,Tweet ID:
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1853138571705688576
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1854944598059294720
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1856862014074757120
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1866019377788711424
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1871241801065013248
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1873917603019722752
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1875934590755553280
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1876513306439262464
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1876585832292987136
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1876586176519536640
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1840622115285881344
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1790713878248038400
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1821962477824884736
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1833693219252507136
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1835451362458685696
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1850692684152721408
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1879226367847608576
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1753906750833786880
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1807175732520509440
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1843309335155196160
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1851914071924510720
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1851975451968672000
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1787864325258162176
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1810081845645643776
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1830319463884890624
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1831703950564672000
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1840779255786955264
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1840845084780011520
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1839188976864797184
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1853660633528459264
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1847084404377534720
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1731327339550674944
So nyc is full on 3rd world now huh?,22.1M,1.9K,6.7K,6.6K,1K,False,1688931917792702464
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1.820450068522e+18
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1789744977553059840
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1824913358526833152
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1823166605393625344
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1769346786408497152
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1846581269938713088
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1847045850997886976
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1874924594467131904
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1836475329604440064
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1799920767624446464
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1808087327920496896
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1863828735839072768
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1864409389521613312
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1756072228620251648
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1826949717265101056
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1817749752345158144
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1820582219028615424
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1848428842811088896
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1820838134470328576
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1783053802033332480
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1732777176775147776
"Stevie, Ale and Mark Ogden are answering your questions on tonight’s edition of Extra Time on ",86.5K,51,5,124,4,False,1882540327350989254
"on runway, flight delayed, taking nap",viewsN/A,7,26,18,5,False,1882
can we swim,viewsN/A,replyN/A,27,9,bookmarksN/A,False,1494
wondering if tonights lost is all new.,viewsN/A,2,32,4,bookmarksN/A,False,1993
not yet soon,viewsN/A,1,15,12,bookmarksN/A,False,1929
riding the 45.,viewsN/A,6,476,880,bookmarksN/A,False,1200
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1835873305670128128
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1835753162424135936
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1848465510062489600
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1848855489276150016
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1849217132183060736
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1850260831755452928
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1850534471147094528
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1851080997414277376
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1850945107047936256
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1851481562744840704
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1771414274524537344
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1773094797676253440
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1775925886551736576
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1780313481926864896
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1780284204024029440
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1780308682221461504
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1796440638617244160
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1809374976845156864
