Text,Views,Replies,Reposts,Likes,Bookmarks,Note Published?,Tweet ID:
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877373187761090816
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1876657560637579520
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877374407330459904
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1875148578219540736
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1878728545549299712
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1878573427977527808
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1882093121418502656
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1882501823229276160
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1874494374060433920
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1874565784032477440
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1881673478950318336
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1880797138919293184
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1874428320512954624
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1876934450157650176
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1875263096081805312
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1881752507166421504
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1874721478559830528
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1879655559240286464
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1879539270165405696
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1879828180036722688
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1882241911358095616
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1882083807622529280
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1875366325154963968
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1878798327237767424
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877773166623301632
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1879553054518767616
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1879703089034440960
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1882238054519476480
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1881873222578380800
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1881219751076413696
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1882255277551972352
